frames since last update;coins collected;deaths;levels beaten;score gathered;move count (no action, left, right, jump);!world name
1000;8;11;0;0;[116, 128, 587, 169];levels/training_871.txt
1000;13;5;0;15;[187, 130, 527, 156];levels/training_177.txt
1000;7;10;0;0;[107, 109, 602, 182];levels/training_432.txt
582;6;20;1;100;[63, 59, 358, 101];levels/training_996.txt
418;6;9;0;0;[48, 50, 249, 71];levels/training_602.txt
1000;5;7;0;5;[114, 91, 652, 143];levels/training_13.txt
1000;4;12;0;0;[110, 111, 647, 132];levels/training_986.txt
1000;7;6;0;20;[126, 188, 560, 126];levels/training_930.txt
1000;4;2;0;10;[123, 108, 472, 297];levels/training_164.txt
1000;6;1;0;30;[120, 103, 674, 103];levels/training_601.txt
85;3;0;1;115;[9, 7, 54, 14];levels/training_223.txt
915;6;13;0;0;[106, 92, 589, 128];levels/training_112.txt
621;1;10;1;100;[69, 72, 382, 97];levels/training_694.txt
379;6;7;0;5;[42, 49, 220, 68];levels/training_531.txt
89;4;0;1;120;[4, 10, 63, 11];levels/training_5.txt
911;3;1;0;15;[133, 109, 565, 104];levels/training_682.txt
1000;1;2;0;5;[109, 115, 656, 120];levels/training_461.txt
113;6;0;1;130;[14, 10, 74, 14];levels/training_41.txt
106;4;1;1;120;[11, 10, 68, 16];levels/training_245.txt
177;6;1;1;120;[24, 16, 110, 26];levels/training_163.txt
308;8;3;1;120;[37, 32, 181, 57];levels/training_318.txt
296;8;1;0;40;[33, 64, 154, 45];levels/training_155.txt
264;5;2;1;110;[32, 28, 157, 46];levels/training_105.txt
217;2;3;1;100;[20, 18, 146, 32];levels/training_406.txt
227;7;1;1;125;[22, 21, 147, 36];levels/training_544.txt
113;9;0;1;145;[12, 13, 67, 20];levels/training_348.txt
179;3;4;0;0;[28, 17, 105, 29];levels/training_965.txt
1000;5;7;0;5;[159, 214, 478, 149];levels/training_988.txt
1000;7;11;0;10;[119, 93, 629, 159];levels/training_1_118.txt
1000;3;1;0;15;[117, 89, 676, 118];levels/training_1_10.txt
690;6;6;1;105;[73, 85, 443, 88];levels/training_592.txt
209;3;0;1;115;[26, 22, 148, 12];levels/training_1_154.txt
101;4;0;0;20;[6, 13, 67, 15];levels/training_596.txt
77;4;0;1;120;[8, 4, 51, 13];levels/training_275.txt
606;4;14;1;100;[62, 64, 391, 88];levels/training_410.txt
317;6;11;0;0;[30, 26, 198, 63];levels/training_1_16.txt
